time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-24T04:08:35.700Z,22.9621,94.6137,106.27,5.1,mww,,51,0.988,0.59,us,us1000dr4k,2018-07-25T21:36:17.040Z,"77km SSE of Mawlaik, Burma",earthquake,7.2,5.5,0.089,12,reviewed,us,us
2018-04-23T18:01:26.520Z,13.1779,92.3513,26.74,4.9,mb,,36,1.56,0.87,us,us1000dqt3,2018-07-25T21:36:07.040Z,"168km NNW of Bamboo Flat, India",earthquake,6.7,4.5,0.062,83,reviewed,us,us
2018-04-22T18:31:43.620Z,18.2489,96.0331,10,4.9,mb,,69,2.113,1.23,us,us1000dqcv,2018-07-17T02:05:36.040Z,"49km WSW of Pyu, Burma",earthquake,3.9,1.9,0.053,110,reviewed,us,us
2018-04-21T22:41:11.370Z,18.3529,96.0939,10,4.7,mb,,31,2.012,0.5,us,us1000dq2n,2018-07-17T02:05:34.040Z,"38km WSW of Pyu, Burma",earthquake,5.6,1.8,0.058,91,reviewed,us,us
2018-04-20T22:29:24.470Z,18.3221,96.1596,17.07,5,mww,,21,1.973,0.68,us,us1000dpmh,2018-07-17T02:05:33.040Z,"33km WSW of Pyu, Burma",earthquake,4.6,3.3,0.075,17,reviewed,us,us
2018-04-20T04:16:01.950Z,18.3668,96.1628,10,4.9,mb,,32,1.948,0.87,us,us1000dp14,2018-07-17T02:05:32.040Z,"31km WSW of Pyu, Burma",earthquake,6.6,1.9,0.046,151,reviewed,us,us
2018-04-10T14:14:20.670Z,24.1313,82.5522,10,4.6,mb,,66,5.403,0.86,us,us2000dxj3,2018-07-07T02:25:16.040Z,"14km WSW of Singrauli, India",earthquake,8.8,1.9,0.073,56,reviewed,us,us
2018-04-08T17:40:09.280Z,22.6019,96.0753,10,4.5,mb,,95,0.583,0.76,us,us2000dwi3,2018-06-30T01:11:35.040Z,"38km E of Shwebo, Burma",earthquake,4.7,1.3,0.084,42,reviewed,us,us
2018-04-04T15:21:23.500Z,24.8388,95.3185,126.84,4.6,mb,,59,1.108,0.94,us,us1000de6e,2018-06-30T01:11:28.040Z,"123km SE of Phek, India",earthquake,7.7,6.6,0.064,74,reviewed,us,us
2018-04-02T11:42:10.860Z,26.4448,96.9676,10,4.9,mb,,64,3.269,0.95,us,us1000dcdk,2018-06-30T01:11:24.040Z,"125km NNW of Myitkyina, Burma",earthquake,4.9,1.9,0.066,72,reviewed,us,us
2018-03-17T19:59:03.880Z,18.3849,96.151,19.05,5.1,mb,,60,2.513,0.6,us,us1000d5rq,2018-06-11T21:53:50.040Z,"31km WSW of Pyu, Burma",earthquake,6.8,3.7,0.046,153,reviewed,us,us
2018-03-15T14:53:24.170Z,33.0311,76.0989,39.8,4.5,mb,,99,2.448,1.21,us,us1000d4p8,2018-06-11T21:53:46.040Z,"36km E of Bhadarwah, India",earthquake,4.4,9.1,0.085,41,reviewed,us,us
2018-03-15T02:26:05.630Z,24.4242,93.5687,55.55,4.5,mb,,122,0.695,0.7,us,us1000d4k8,2018-06-11T21:53:45.040Z,"14km NW of Churachandpur, India",earthquake,6.1,8,0.102,28,reviewed,us,us
2018-03-07T21:13:08.040Z,19.8317,95.9379,10,4.8,mww,,56,1.388,0.61,us,us1000d14n,2018-07-31T19:20:38.424Z,"22km WNW of Nay Pyi Taw, Burma",earthquake,5.4,1.8,0.103,9,reviewed,us,us
2018-03-06T04:40:05.040Z,6.9478,94.1757,71.56,5.1,mb,,32,3.242,0.48,us,us2000dcr6,2018-06-08T05:12:10.040Z,"147km SE of Mohean, India",earthquake,8.6,5.7,0.052,118,reviewed,us,us
2018-03-04T10:48:10.180Z,18.4234,96.1598,10,4.9,mb,,66,2.474,0.74,us,us2000dc0t,2018-05-27T01:06:12.040Z,"29km WSW of Pyu, Burma",earthquake,7.6,1.8,0.052,115,reviewed,us,us
2018-03-01T17:27:17.180Z,30.362,87.6339,11.41,4.9,mb,,37,2.5,0.72,us,us2000d9t7,2018-05-27T01:06:07.040Z,"114km WSW of Jiajuedibu, China",earthquake,8.1,4.3,0.046,149,reviewed,us,us
2018-02-14T23:58:53.690Z,34.8817,86.9413,10,4.7,mb,,50,6.261,0.45,us,us2000d2f6,2018-05-15T06:29:07.040Z,"Western Xizang",earthquake,8.3,1.9,0.065,73,reviewed,us,us
2018-02-14T07:14:01.980Z,18.751,95.3043,85.22,4.7,mb,,137,2.585,0.68,us,us2000d1w1,2018-05-15T06:29:06.040Z,"11km SE of Prome, Burma",earthquake,7.7,7,0.058,90,reviewed,us,us
2018-02-13T02:39:51.940Z,12.3508,93.1579,57.51,5.2,mww,,27,6.148,0.83,us,us2000d1a1,2018-05-15T06:29:03.040Z,"86km NNE of Bamboo Flat, India",earthquake,7.8,4.6,0.089,12,reviewed,us,us
2018-02-08T20:58:48.310Z,32.8745,93.3826,10,4.8,mb,,35,3.704,0.94,us,us2000cz40,2018-05-03T22:15:05.040Z,"116km NNW of Zaindainxoi, China",earthquake,8.4,1.9,0.051,117,reviewed,us,us
2018-02-05T16:55:35.100Z,18.2777,96.234,10,4.6,mb,,127,2.578,0.86,us,us1000cg3x,2018-05-03T22:14:58.040Z,"31km SW of Pyu, Burma",earthquake,3.8,1.9,0.125,19,reviewed,us,us
